timestamp,rx_packets,tx_packets
18:16:45.968805,41807361450,70615400227
18:16:46.981324,41807444714,70615483491
18:16:47.993686,41807527946,70615566723
18:16:49.005876,41807611178,70615649955
18:16:50.018181,41807694410,70615733187
18:16:51.030534,41807777642,70615816425
18:16:52.043076,41807860906,70615899683
18:16:53.055447,41807944138,70615982915
18:16:54.067963,41808027402,70616066179
18:16:55.080256,41808110634,70616149411
18:16:56.092571,41808193866,70616232643
18:16:57.105007,41808330762,70616407363
18:16:58.117245,41808429483,70616823107
18:16:59.129828,41808528203,70617238819
18:17:00.142697,41808626923,70617654563
18:17:01.154888,41808725643,70618070333
18:17:02.167323,41808824396,70618486147
18:17:03.180013,41808923116,70618901955
18:17:04.192934,41809021836,70619317891
18:17:05.205344,41809120556,70619733763
18:17:06.218143,41809219276,70620149699
18:17:07.230336,41809318028,70620565621
18:17:08.242422,41809416748,70620865059
18:17:09.255458,41809483756,70620964931
18:17:10.268475,41809583628,70621064931
18:17:11.281063,41809683436,70621164835
18:17:12.293930,41809783372,70621264803
18:17:13.306532,41809883308,70621364707
18:17:14.319076,41809983148,70621464579
18:17:15.332194,41810082988,70621564387
18:17:16.345145,41810182892,70621664259
18:17:17.357686,41810282828,70621764259
18:17:18.369830,41810382668,70621864099
18:17:19.383064,41810482604,70621964003
18:17:20.395733,41810624876,70622439715
18:17:21.410050,41810743468,70623270147
18:17:22.423846,41810862028,70624102339
18:17:23.437421,41810980620,70624933699
18:17:24.451156,41811099212,70625764099
18:17:25.464591,41811217772,70626595427
18:17:26.478807,41811336364,70627426339
18:17:27.491486,41811454924,70628257315
18:17:28.504351,41811573517,70629087939
18:17:29.517775,41811692109,70629918979
18:17:30.530322,41811810669,70630749827
18:17:31.543093,41811929261,70631580141
18:17:32.555859,41812047821,70633019427
18:17:33.567947,41812166413,70634671523
18:17:34.580011,41812285005,70636324099
18:17:35.593153,41812403565,70637977571
18:17:36.605654,41812522157,70639631011
18:17:37.618231,41812640717,70641284291
18:17:38.631321,41812759309,70642938819
18:17:39.643448,41812877901,70644591491
18:17:40.656703,41812996461,70646243523
18:17:41.668969,41813115053,70647898414
18:17:42.682059,41813233613,70649551747
18:17:43.695293,41813352205,70651207395
18:17:44.707915,41813470797,70651835971
18:17:45.721173,41813546221,70651919267
18:17:46.732749,41813629421,70652002531
18:17:47.744080,41813712557,70652085699
18:17:48.756252,41813795789,70652168899
18:17:49.767805,41813878957,70652252099
18:17:50.779619,41813962157,70652335299
18:17:51.791001,41814045325,70652418467
18:17:52.802511,41814128461,70652501603
18:17:53.813643,41814211629,70652584771
18:17:54.824896,41814294765,70652667907
