IP Total Length (bytes),%count,%count
219,34.70737252,35.50831418
220,34.73214287,35.53937297
221,34.76277495,35.56754612
222,34.79097412,35.59387665
223,34.81508945,35.61765907
224,34.8437899,35.64625829
225,34.86747412,35.67069364
226,34.89206067,35.69525073
227,34.91533383,35.71872328
228,34.94342271,35.74742486
229,35.40915339,36.18996153
230,35.43044146,36.21095237
231,35.44814029,36.22905755
232,35.48496831,36.26538411
233,35.51759218,36.2993507
234,35.54769958,36.33026839
235,35.5657794,36.34824631
236,35.6003984,36.38220182
237,35.63910123,36.4213919
238,35.73682246,36.52914042
239,35.77645101,36.56911071
240,35.80929211,36.60154731
241,35.82521304,36.61684984
242,35.85116977,36.6417832
243,35.91071619,36.70144121
244,35.92777338,36.71800258
245,35.95330569,36.74274781
246,35.96894924,36.75869498
247,35.98097014,36.77064705
248,36.01297242,36.80349866
249,36.03524301,36.82543847
250,36.05116394,36.84245357
251,36.06392341,36.85597436
252,36.07960038,36.87230056
253,36.09883316,36.89269103
254,36.11465717,36.9093022
255,36.12671484,36.92137877
256,36.14246867,36.93713781
257,36.15501426,36.94923098
258,36.16664416,36.96104196
259,36.17652957,36.97049849
260,36.19166849,36.98482714
261,36.20548067,36.9985416
262,36.21850749,37.01020871
263,36.22969626,37.02150508
264,36.24554701,37.04005846
265,36.26262091,37.05667793
266,36.27352561,37.06723283
267,36.29001132,37.08340687
268,36.31007958,37.10396333
269,36.32512493,37.12125788
270,36.339024,37.13393482
271,36.35582385,37.15043533
272,36.39777838,37.19025621
273,36.40813501,37.20028821
274,36.41980501,37.21238139
275,36.43178915,37.2240485
276,36.44565146,37.23740051
277,36.46316649,37.25344175
278,36.48605199,37.27279194
279,36.49594075,37.2825362
280,36.53144536,37.31932757
281,36.55217866,37.33882716
282,36.56848726,37.35624343
283,36.5784629,37.36552289
284,36.60277875,37.38896224
285,36.62115265,37.40713106
286,36.63580365,37.42167552
287,36.64744024,37.43311022
288,36.66122234,37.44704878
289,36.67796538,37.46467256
290,36.69242589,37.47897908
291,36.70221773,37.48854074
292,36.71503401,37.50035725
293,36.72807421,37.5132666
294,36.76285028,37.54671028
295,36.77719048,37.56139584
296,36.80780251,37.59028555
297,36.83490553,37.61798006
298,36.88038578,37.66536506
299,36.89252366,37.67831038
300,36.91006542,37.69579305
301,36.92616682,37.71209989
302,36.938816,37.72487091
303,36.95040914,37.73656291
304,36.97622551,37.75652454
305,37.01867464,37.79983421
306,37.03295469,37.81419331
307,37.04547354,37.82695879
308,37.09362066,37.87615597
309,37.11786632,37.89908071
310,37.16843299,37.95150108
311,37.18506909,37.96851618
312,37.20216972,37.98712214
313,37.22281948,38.01635216
314,37.24562143,38.03944567
315,37.26095753,38.0543332
316,37.27877667,38.07350632
317,37.31444838,38.11010402
318,37.32998833,38.12592115
319,37.34175525,38.13784279
320,37.35347204,38.15028734
321,37.36618138,38.16278445
322,37.38091927,38.17909959
323,37.39103528,38.18939442
324,37.40743745,38.20431515
325,37.41893033,38.21617869
326,37.45284418,38.25113298
327,37.47395847,38.27279058
328,37.48978582,38.28997446
329,37.50917901,38.30822351
330,37.52894316,38.3282709
331,37.54152217,38.34133242
332,37.55564848,38.3551686
333,37.57541931,38.37427256
334,37.59053818,38.38976599
335,37.60245883,38.40330061
336,37.62110009,38.42363021
337,37.63689402,38.43914854
338,37.65589621,38.45817226
339,37.67118552,38.4746202
340,37.68774476,38.49163254
341,37.70046078,38.50542446
342,37.71737092,38.5229597
343,37.73356255,38.54047005
344,37.75243774,38.56044551
345,37.7821508,38.59175607
346,37.80265351,38.61289907
347,37.83168147,38.64234489
348,37.85825312,38.66901573
349,37.88674637,38.69934965
350,37.91482188,38.7276224
351,37.93639401,38.75105068
352,37.9640852,38.7806459
353,37.98439408,38.80238651
354,38.0056387,38.82402475
355,38.02654244,38.84599222
356,38.05202127,38.86880906
357,38.07228337,38.89030067
358,38.09399251,38.91497672
359,38.11330216,38.93522608
360,38.13647506,38.95974444
361,38.16118526,38.98627418
362,38.18294119,39.0105048
363,38.20092743,39.02973048
364,38.22040751,39.04959251
365,38.24383441,39.07520371
366,38.26789961,39.10109434
367,38.28383057,39.11857701
368,38.30419626,39.14023185
369,38.32216579,39.15979784
370,38.3467657,39.18589874
371,38.36253624,39.20297195
372,38.38081657,39.22137317
373,38.39768327,39.23888351
374,38.41491089,39.25638556
375,38.4302403,39.27154699
376,38.44787564,39.29010314
377,38.48613066,39.32977739
378,38.52223348,39.36668772
379,38.53713512,39.38217839
380,38.55756431,39.40217045
381,38.58121511,39.42745241
382,38.5992214,39.44493509
383,38.61237522,39.45835074
384,38.62631439,39.47258533
385,38.64001963,39.48671202
386,38.65505829,39.50136714
387,38.66848949,39.51463616
388,38.68220475,39.52831465
389,38.69637785,39.54479579
390,38.71037718,39.55914104
391,38.72408909,39.57230493
392,38.73998997,39.58753552
393,38.75800963,39.60590354
394,38.7734393,39.62113967
395,38.78834763,39.63527189
396,38.80114052,39.64792671
397,38.82246868,39.66978905
398,38.85028353,39.69945067
399,38.86305971,39.71305722
400,38.8755819,39.72618514
401,38.88796707,39.73827001
402,38.89958695,39.74882491
403,38.91218601,39.76719846
404,38.92492208,39.77875214
405,38.93755122,39.79150102
406,38.94823869,39.80273929
407,38.95780997,39.81204641
408,38.97867361,39.82981406
409,38.98989579,39.8413207
410,39.00155242,39.85390081
411,39.01066251,39.8625965
412,39.02027055,39.87189809
413,39.03269917,39.88424027
414,39.04497406,39.89637772
415,39.06082815,39.91274819
416,39.07967327,39.93110237
417,39.09290729,39.94419985
418,39.10196391,39.95325521
419,39.11016499,39.96122049
420,39.11873703,39.96941541
421,39.12726896,39.97863954
422,39.13790965,39.98987781
423,39.14842335,39.99989874
424,39.15876661,40.00998054
425,39.17016257,40.02189111
426,39.17857754,40.03128677
427,39.18675523,40.03843588
428,39.19667406,40.04730311
429,39.2111446,40.0624424
430,39.22205264,40.07306094
431,39.22928791,40.08012982
432,39.23724838,40.0882445
433,39.24597414,40.09638132
434,39.25409168,40.10435214
435,39.26160767,40.11187752
436,39.27104861,40.11977917
437,39.27834403,40.12693658
438,39.28670218,40.13573187
439,39.29347292,40.14286438
440,39.3015537,40.1516486
441,39.31277254,40.16239717
442,39.32397133,40.1728331
443,39.33531382,40.18375321
444,39.34548999,40.1939678
445,39.35497103,40.20345753
446,39.36240013,40.21050428
447,39.3723858,40.22067737
448,39.37900281,40.22798142
449,39.38565324,40.23436693
450,39.3922736,40.2408548
451,39.39982635,40.24953942
452,39.40945777,40.25941649
453,39.41608481,40.2663332
454,39.4226684,40.27292067
455,39.42857024,40.27918444
456,39.43612634,40.28654106
457,39.44885573,40.29951127
458,39.45733085,40.30887097
459,39.4631692,40.31459524
460,39.47045125,40.32228385
461,39.48144618,40.33484736
462,39.51783641,40.37159446
463,39.52520535,40.37860524
464,39.54478903,40.39927791
465,39.60119739,40.45165124
466,39.80376483,40.6392269
467,39.80992734,40.64589737
468,39.81635386,40.65259828
469,39.8227737,40.65833638
470,39.82905986,40.66506496
471,39.85541428,40.69523288
472,39.8625894,40.71919237
473,39.8752954,40.73170332
474,39.88305201,40.73994527
475,39.89273356,40.7502733
476,39.89986857,40.75859272
477,39.90858765,40.76705601
478,39.91558565,40.77369052
479,39.92662737,40.78445568
480,39.96859192,40.81470938
481,39.97646884,40.8234189
482,39.98378765,40.83007277
483,39.99073886,40.83824002
484,40.00215153,40.85028617
485,40.01084388,40.85927236
486,40.01568299,40.86452629
487,40.02245038,40.87073196
488,40.02928796,40.8771147
489,40.03615896,40.88431638
490,40.05681206,40.90485625
491,40.07189417,40.91990424
492,40.0854958,40.93347206
493,40.09670128,40.94500914
494,40.10543038,40.95388189
495,40.11064379,40.95880936
496,40.11764512,40.9652834
497,40.12439247,40.97158867
498,40.13259021,40.98061083
499,40.1373324,40.98583433
500,40.14394607,40.99244947
501,40.14874842,40.9975125
502,40.15414228,41.00288817
503,40.16200918,41.01161152
504,40.17185783,41.02438807
505,40.17953089,41.03303396
506,40.18553633,41.03878313
507,40.19035204,41.04428053
508,40.19862331,41.05674168
509,40.20600896,41.06431409
510,40.2144373,41.07309555
511,40.21972756,41.07868702
512,40.22726695,41.08670487
513,40.2355215,41.09620013
514,40.24139995,41.10223427
515,40.24643289,41.1074716
516,40.25328049,41.11406737
517,40.25883143,41.12036711
518,40.26491708,41.12710122
519,40.27583849,41.13791066
520,40.29849005,41.16014097
521,40.30999296,41.1709836
522,40.31668349,41.17688494
523,40.32224446,41.18246811
524,40.32991083,41.18938205
525,40.33772426,41.19722284
526,40.34465207,41.20450475
527,40.34986881,41.20986382
528,40.35661616,41.21672243
529,40.36250797,41.22352847
530,40.36720003,41.22848083
531,40.37319879,41.23422447
532,40.38001632,41.24099455
533,40.38765596,41.24814089
534,40.39418274,41.25444063
535,40.40120746,41.26182491
536,40.40803502,41.26851752
537,40.50950589,41.38084213
538,40.51505683,41.38680157
539,40.51990596,41.39177054
540,40.5293235,41.39859041
541,40.54207963,41.40895165
542,40.57465003,41.44191392
543,40.60100111,41.46848516
544,40.61784442,41.48505483
545,40.62816762,41.49852305
546,40.63872811,41.50889258
547,40.64544872,41.51616066
548,40.65276753,41.52349237
549,40.65837863,41.52988895
550,40.6650725,41.53685546
551,40.67897157,41.55126435
552,40.68933488,41.5693308
553,40.69987197,41.57960626
554,40.7044337,41.58430132
555,40.71084351,41.59089157
556,40.71662504,41.59668777
557,40.72989582,41.60960265
558,40.73754883,41.61793037
559,40.74216737,41.62263373
560,40.7469764,41.62770507
561,40.75232348,41.63342934
562,40.75858959,41.63993381
563,40.76277702,41.64440477
564,40.77380872,41.65313089
565,40.7786378,41.65799749
566,40.78390802,41.66357513
567,40.78775457,41.66725758
568,40.80094849,41.67968553
569,40.82165172,41.70093366
570,40.82972581,41.70920882
571,40.83519654,41.71573266
572,40.84104825,41.7218581
573,40.84832696,41.72970441
574,40.85491056,41.73721873
575,40.86205225,41.7437647
576,41.10546136,41.97900756
577,41.11176423,41.98528517
578,41.1190229,41.99304018
579,41.1251052,41.99910199
580,41.1325343,42.00614043
581,41.13804179,42.01173467
582,41.14336548,42.01715737
583,41.16109439,42.03401201
584,41.2189264,42.05578028
585,41.22665962,42.06392817
586,41.23222727,42.0694477
587,41.23793193,42.07566444
588,41.244051,42.08196418
589,41.25231224,42.09052984
590,41.26524214,42.10357752
591,41.27125427,42.11059383
592,41.27656793,42.11570113
593,41.28239959,42.12251824
594,41.28848858,42.12786624
595,41.29706061,42.13700736
596,41.30279536,42.14305534
597,41.30788845,42.14812114
598,41.33426292,42.18325802
599,41.33973365,42.18771515
600,41.35162422,42.20004073
601,41.3705462,42.21744041
602,41.37677889,42.22335558
603,41.38087275,42.22779887
604,41.38873964,42.2369981
605,41.39701091,42.24564399
606,41.401586,42.25037502
607,41.40996755,42.2584233
608,41.41531463,42.2634974
609,41.41929152,42.26784109
610,41.42620262,42.27387523
611,41.43467106,42.28184605
612,41.43898215,42.28656601
613,41.44525494,42.29303175
614,41.44958607,42.29756358
615,41.45673445,42.30561463
616,41.46410674,42.31282185
617,41.47247826,42.3205575
618,41.47753459,42.32581143
619,41.48441228,42.3321665
620,41.49013365,42.33820894
621,41.49693447,42.34603589
622,41.50264582,42.35267317
623,41.50589083,42.35632242
624,41.51127801,42.3625198
625,41.51829271,42.37038825
626,41.52266729,42.3742865
627,41.52946143,42.38166248
628,41.53478511,42.38704645
629,41.54024248,42.39153955
630,41.55180888,42.40198378
631,41.55575235,42.40577967
632,41.56128658,42.41187744
633,41.56862545,42.4204929
634,41.57290645,42.42450182
635,41.57697692,42.42825068
636,41.58592659,42.43857871
637,41.59453205,42.44643333
638,41.60013646,42.45206076
639,41.60499562,42.4578127
640,41.61112471,42.4634014
641,41.61832656,42.47032088
642,41.62551504,42.47735379
643,41.63177446,42.48336303
644,41.63857528,42.49113464
645,41.6421478,42.49446573
646,41.64794938,42.49961453
647,41.65182935,42.50357089
648,41.65855331,42.51073937
649,41.66580863,42.51768928
650,41.67240225,42.52436252
651,41.68054652,42.53271238
652,41.68610414,42.53765644
653,41.69477643,42.54688886
654,41.70011683,42.5520183
655,41.70450812,42.55636753
656,41.70869555,42.56099342
657,41.71293645,42.56518495
658,41.71791258,42.57031438
659,41.72340336,42.57567068
660,41.73047822,42.58257632
661,41.73612607,42.58707772
662,41.7412693,42.59203285
663,41.74504567,42.59589514
664,41.74955727,42.60077834
665,41.75549921,42.60700891
666,41.76863298,42.62083957
667,41.77284046,42.62487616
668,41.77759268,42.62950206
669,41.78556985,42.63699977
670,41.79111745,42.64277937
671,41.79524807,42.64669423
672,41.80172806,42.65334811
673,41.80586871,42.65753133
674,41.81201451,42.66424331
675,41.81566723,42.6681056
676,41.82189324,42.67522151
677,41.83697869,42.68692459
678,41.84116612,42.69124615
679,41.84496923,42.69506141
680,41.85075076,42.70040111
681,41.85729759,42.70621391
682,41.86197629,42.7106738
683,41.86680203,42.7152582
684,41.87206222,42.72119274
685,41.88331448,42.73321675
686,41.89159243,42.73943625
687,41.89540891,42.74368035
688,41.90593597,42.75404988
689,41.91582139,42.76391311
690,41.92102142,42.76842004
691,41.92659909,42.77401981
692,41.93307574,42.78005394
693,41.93744698,42.78412097
694,41.94285088,42.78933894
695,41.94731235,42.7937186
696,41.96021218,42.80793659
697,41.9650847,42.81372449
698,41.96917522,42.81790495
699,41.97397088,42.82249488
700,41.98022697,42.82818595
701,41.98808383,42.83730217
702,41.99330726,42.84234584
703,41.9971204,42.84695514
704,42.0069089,42.85858628
705,42.01360946,42.86621402
706,42.02105192,42.87351807
707,42.02742163,42.87781473
708,42.03279879,42.88249873
709,42.03907158,42.88869887
710,42.04374025,42.89348523
711,42.04754002,42.89740562
712,42.05453467,42.90337336
713,42.06075065,42.91038137
714,42.06517202,42.9143986
715,42.06884479,42.91833005
716,42.07286513,42.92234451
717,42.08038112,42.92912842
718,42.08446829,42.93335592
719,42.08822462,42.93736208
720,42.09410975,42.94311401
721,42.09753522,42.94712294
722,42.10136841,42.95098246
723,42.10526175,42.95522379
724,42.10929545,42.95902521
725,42.11278777,42.96303414
726,42.11625,42.96671106
727,42.11953511,42.96993978
728,42.12398656,42.97402341
729,42.12879225,42.97900621
730,42.13225448,42.98905757
731,42.13573008,42.99261553
732,42.13985736,42.99684025
733,42.14670831,43.00380953
734,42.15176798,43.00869273
735,42.15507314,43.01214278
736,42.1593341,43.01667185
737,42.16341459,43.02140841
738,42.16796629,43.02597067
739,42.17123469,43.02918002
740,42.17584989,43.03505923
741,42.17881418,43.03850098
742,42.18281446,43.04235498
743,42.18599264,43.04574416
744,42.1902703,43.05071866
745,42.19500581,43.05528922
746,42.19889247,43.05878355
747,42.20224442,43.06223913
748,42.20671925,43.0666852
749,42.21236042,43.07253673
750,42.217253,43.0775804
751,42.22078876,43.08088105
752,42.22499624,43.08544608
753,42.2280541,43.08890444
754,42.23244205,43.09249559
755,42.23582408,43.09590691
756,42.24583983,43.10370066
757,42.25666098,43.11467057
758,42.26020008,43.11822852
759,42.26431065,43.12227342
760,42.26847803,43.12645111
761,42.27222433,43.13022487
762,42.27591047,43.13350615
763,42.27948633,43.13694238
764,42.28846274,43.14387292
765,42.29687437,43.15225874
766,42.30071758,43.1561819
767,42.30527931,43.16040386
768,42.30887188,43.16405865
769,42.31274183,43.16804821
770,42.3166452,43.17190496
771,42.31954933,43.17511985
772,42.32423805,43.17975958
773,42.32771031,43.18365507
774,42.33189106,43.18746203
775,42.38964287,43.23698291
776,42.39535756,43.24240561
777,42.40141647,43.2513835
778,42.4050859,43.25522919
779,42.40815379,43.25833618
780,42.41368133,43.26213484
781,42.41912867,43.26814407
782,42.42510069,43.27419758
783,42.43122978,43.28025108
784,42.43612904,43.28521452
785,42.44064733,43.29013645
786,42.44463424,43.29392127
