RX Pkt count,TX Pkt count
1789566,5799118
1789566,5799118
1798430,5812647
1799550,5821902
1799550,5831118
1799550,5840334
1799550,5849678
1799550,5858894
1799550,5868110
1799550,5877454
1799550,5886670
1799550,5896014
1799550,5905230
1799550,5914574
1799550,5924046
1799550,5933390
1799550,5942734
1799550,5952078
1799550,5961294
1799550,5970638
1799550,5979854
1799550,5989198
1799550,5998286
1799550,6007630
1799550,6016846
1799550,6026318
1799550,6035534
1799550,6044750
1799550,6054094
1799550,6063310
1799550,6072654
1799550,6081998
1799550,6091214
1799550,6100686
1799550,6109902
1799550,6119246
1799550,6128590
1799550,6137934
1799550,6147150
1799550,6156366
1799550,6165582
1799550,6174926
1799550,6184270
1799550,6193614
1799550,6202958
1799550,6212250
1799550,6221518
1799550,6230734
1799550,6239822
1799550,6248910
1799550,6258126
1799550,6267342
1799550,6276686
1799550,6285902
1799550,6295246
1799550,6304590
1799550,6313806
1799550,6323278
1799550,6332494
1799550,6341838
1799550,6351182
1799550,6360526
1799550,6369742
1799550,6378958
1799550,6388174
1799550,6397518
1799550,6406734
1799550,6415950
1799550,6425294
1799550,6434510
1799550,6443726
1799550,6453070
1799550,6462286
1799550,6471630
1799550,6480846
1799550,6490190
1799550,6499406
1799550,6508750
1799550,6518222
1799550,6527566
1799550,6536910
1799550,6546254
1799550,6555470
1799550,6564814
1799550,6574030
1799550,6583374
1799550,6592590
1799550,6601934
1799550,6611278
1799550,6620494
1799550,6629966
1799550,6639182
1799550,6648526
1799550,6657870
1799550,6667214
1799550,6676430
1799550,6685646
1799550,6694862
1799550,6704206
1799550,6713422
1799550,6722638
1799550,6731982
1799550,6741198
1799550,6750414
1799550,6759758
1799550,6768974
1799550,6778318
1799550,6787534
1799550,6796878
1799550,6806094
1799550,6815438
1799550,6824910
1799550,6834254
1799550,6843598
1799550,6852942
1799550,6862158
1799550,6871502
1799550,6880718
1799550,6890062
1799550,6899278
1799550,6908622
1799550,6917966
1799550,6927182
1799550,6936654
1799550,6945870
1799550,6955214
1799550,6964558
1799550,6973902
1799550,6983118
1799550,6992334
1799550,7001550
1799550,7010894
1799550,7020110
1799550,7029326
1799550,7038670
1799550,7047886
1799550,7057102
1799550,7066446
1799550,7075662
1799550,7085006
1799550,7094222
1799550,7103566
1799550,7112782
1799550,7122126
1799550,7131598
1799550,7140942
1799550,7150286
1799550,7159630
1799550,7168846
1799550,7178190
1799550,7187406
1799550,7196750
1799550,7205966
1799550,7215310
1799550,7224654
1799550,7233870
1799550,7243342
1799550,7252558
1799550,7261902
1799550,7271246
1799550,7280590
1799550,7289806
1799550,7299022
1799550,7308238
1799550,7317582
1799550,7326798
1799550,7336014
1799550,7345358
1799550,7354574
1799550,7363790
1799550,7373134
1799550,7382350
1799550,7391694
1799550,7400910
1799550,7410254
1799550,7419470
1799550,7428814
1799550,7438286
1799550,7447630
1799550,7456974
1799550,7466318
1799550,7475534
1799550,7484878
1799550,7494094
1799550,7503438
1799550,7512654
1799550,7521998
1799550,7531342
1799550,7540558
1799550,7550030
1799550,7559246
1799550,7568590
1799550,7577934
1799550,7587278
1799550,7596494
1799550,7605710
1799550,7614926
1799550,7624270
1799550,7633486
1799550,7642702
1799550,7652046
1799550,7661262
1799550,7670478
1799550,7679822
1799550,7689038
1799550,7698382
1799550,7707598
1799550,7716942
1799550,7726158
1799550,7735502
1799550,7744974
1799550,7754318
1799550,7763662
1799550,7773006
1799550,7782222
1799550,7791566
1799550,7800782
1799550,7810126
1799550,7819342
1799550,7828686
1799550,7838030
1799550,7847246
1799550,7856718
1799550,7865934
1799550,7875278
1799550,7884622
1799550,7893966
1799550,7903182
1799550,7912398
1799550,7921614
1799550,7930958
1799550,7940174
1799550,7949390
1799550,7958734
1799550,7967950
1799550,7977166
1799550,7986510
1799550,7995726
1799550,8005070
1799550,8014286
1799550,8023630
1799550,8032846
1799550,8042190
1799550,8051662
1799550,8061006
1799550,8070350
1799550,8079694
1799550,8088910
1799550,8098254
1799550,8107470
1799550,8116814
1799550,8126030
1799550,8135374
1799550,8144718
1799550,8153934
1799550,8163406
1799550,8172622
1799550,8181966
1799550,8191310
1799550,8200654
1799550,8209870
1799550,8219086
1799550,8228302
1799550,8237646
1799550,8246862
1799550,8256078
1799550,8265422
1799550,8274638
1799550,8283854
1799550,8293198
1799550,8302414
1799550,8311758
1799550,8320974
1799550,8330318
1799550,8339534
1799550,8348878
1799550,8358350
1799550,8367694
1799550,8377038
1799550,8386382
1799550,8395598
1799550,8404942
1799550,8414286
1799550,8423502
1799550,8432846
1799550,8442062
1799550,8451406
1799550,8460878
1799550,8470222
1799550,8479566
1799550,8488910
1799550,8498126
1799550,8507470
1799550,8516686
1799550,8526030
1799550,8535246
1799550,8544590
1799550,8553934
1799550,8563150
1799550,8572622
